Campaign,Campaign Type,Campaign Status,Budget,Budget Type,Bid Strategy Type,Max CPC,Networks,Languages,Location,Ad Rotation,Final URL suffix,Start Date,End Date
Apex | Burst | Brand | AU,Search,Paused,80,Daily,Maximize clicks,6.00,Google search,English,Australia,Rotate indefinitely,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&matchtype={matchtype}&device={device},2026-09-21,2026-09-24
Apex | Burst | High Intent | AU,Search,Paused,520,Daily,Maximize clicks,9.00,Google search,English,Australia,Rotate indefinitely,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&matchtype={matchtype}&device={device},2026-09-21,2026-09-24
Apex | Burst | Symptoms | AU,Search,Paused,300,Daily,Maximize clicks,6.00,Google search,English,Australia,Rotate indefinitely,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={adgroupid}&utm_term={keyword}&matchtype={matchtype}&device={device},2026-09-21,2026-09-24
