Campaign,Ad Group,Status,Ad Group Type,Max CPC,Note
Apex | Burst | Brand | AU,Brand Core,Enabled,Standard,2.50,
Apex | Burst | Brand | AU,Brand Services,Enabled,Standard,2.50,
Apex | Burst | Symptoms | AU,Low Energy & Fatigue,Enabled,Standard,2.50,
Apex | Burst | Symptoms | AU,Low Libido & Drive,Enabled,Standard,2.50,
Apex | Burst | Symptoms | AU,Brain Fog & Recovery,Enabled,Standard,2.50,
Apex | Burst | High Intent | AU,Hormone Clinic,Enabled,Standard,2.50,
Apex | Burst | High Intent | AU,Hormone Blood Test,Enabled,Standard,2.50,
Apex | Burst | High Intent | AU,Private Blood Panel,Enabled,Standard,2.50,
